arm	seed	verdict	ttfc_seconds	runs	artifact
vault_baseline	clean	missed		470749	
vault_ai	clean	missed		177373	
vault_baseline	bug_overflow	missed		453320	
vault_ai	bug_overflow	missed		182047	
vault_baseline	bug_missing_auth	missed		440032	
vault_ai	bug_missing_auth	missed		184083	
vault_baseline	bug_zero_amount	missed		469260	
vault_ai	bug_zero_amount	detected	1	353	artifacts/vault_ai/crash-5d830a538ea991def88f311b71c50aafbe608ed1
vault_baseline	bug_self_transfer	missed		452319	
vault_ai	bug_self_transfer	missed		183540	
vault_baseline	bug_no_ttl	missed		460303	
vault_ai	bug_no_ttl	missed		181065	
vault_baseline	bug_temp_nonce	detected	1	427	artifacts/vault_baseline/crash-78db3693373e49eb3e4c11983ee57779478de0de
vault_ai	bug_temp_nonce	missed		182133	
vault_baseline	bug_reinit	missed		465619	
